fiindex,fi_opcode,crash,benign,SDC
769,load,0.0,0.7666666666666667,0.23333333333333328
770,getelementptr,0.6666666666666666,0.13333333333333333,0.20000000000000007
771,load,0.0,0.7333333333333333,0.2666666666666667
772,getelementptr,0.7,0.16666666666666666,0.13333333333333341
773,load,0.0,0.8,0.19999999999999996
775,getelementptr,0.8666666666666667,0.06666666666666667,0.06666666666666665
776,getelementptr,0.7666666666666667,0.1,0.1333333333333333
777,getelementptr,0.6666666666666666,0.16666666666666666,0.16666666666666674
778,getelementptr,0.8666666666666667,0.0,0.1333333333333333
779,getelementptr,0.8666666666666667,0.1,0.033333333333333326
780,getelementptr,0.8,0.13333333333333333,0.06666666666666665
781,load,0.0,0.8333333333333334,0.16666666666666663
782,load,0.0,0.6666666666666666,0.33333333333333337
783,load,0.0,0.6666666666666666,0.33333333333333337
784,getelementptr,0.7333333333333333,0.03333333333333333,0.2333333333333334
785,load,0.0,0.8666666666666667,0.1333333333333333
786,getelementptr,0.7333333333333333,0.16666666666666666,0.10000000000000009
787,load,0.0,0.6666666666666666,0.33333333333333337
788,getelementptr,0.6,0.16666666666666666,0.2333333333333334
789,load,0.0,0.7,0.30000000000000004
790,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
791,load,0.0,0.5333333333333333,0.4666666666666667
792,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
793,load,0.0,0.7333333333333333,0.2666666666666667
794,getelementptr,0.6333333333333333,0.16666666666666666,0.20000000000000007
795,load,0.0,0.7,0.30000000000000004
796,load,0.0,0.8,0.19999999999999996
797,load,0.0,0.7333333333333333,0.2666666666666667
798,load,0.0,0.8,0.19999999999999996
800,getelementptr,0.6,0.1,0.30000000000000004
801,getelementptr,0.8,0.13333333333333333,0.06666666666666665
802,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
803,load,0.0,0.7,0.30000000000000004
804,load,0.0,0.7,0.30000000000000004
805,load,0.0,0.6333333333333333,0.3666666666666667
806,load,0.0,0.7333333333333333,0.2666666666666667
807,load,0.0,0.7,0.30000000000000004
808,load,0.0,0.5666666666666667,0.43333333333333335
809,getelementptr,0.8,0.03333333333333333,0.16666666666666663
810,load,0.0,0.6333333333333333,0.3666666666666667
811,getelementptr,0.6333333333333333,0.2,0.16666666666666674
812,load,0.0,0.6,0.4
813,getelementptr,0.7666666666666667,0.1,0.1333333333333333
814,load,0.0,0.7,0.30000000000000004
815,load,0.0,0.6,0.4
816,load,0.0,0.7333333333333333,0.2666666666666667
817,load,0.0,0.6,0.4
819,getelementptr,0.7666666666666667,0.1,0.1333333333333333
820,getelementptr,0.7,0.1,0.20000000000000007
821,getelementptr,0.8,0.1,0.09999999999999998
822,load,0.0,0.6666666666666666,0.33333333333333337
823,load,0.0,0.7666666666666667,0.23333333333333328
824,load,0.0,0.7333333333333333,0.2666666666666667
825,load,0.0,0.7666666666666667,0.23333333333333328
826,load,0.0,0.7,0.30000000000000004
827,load,0.0,0.7,0.30000000000000004
828,getelementptr,0.7,0.13333333333333333,0.16666666666666674
829,load,0.0,0.8,0.19999999999999996
830,getelementptr,0.6666666666666666,0.1,0.2333333333333334
831,load,0.0,0.7,0.30000000000000004
832,getelementptr,0.8,0.1,0.09999999999999998
833,load,0.0,0.7,0.30000000000000004
834,load,0.0,0.6666666666666666,0.33333333333333337
835,load,0.0,0.7666666666666667,0.23333333333333328
836,load,0.0,0.7333333333333333,0.2666666666666667
838,load,0.0,0.8,0.19999999999999996
839,load,0.0,0.6,0.4
840,load,0.0,0.7333333333333333,0.2666666666666667
841,load,0.0,0.4666666666666667,0.5333333333333333
842,load,0.0,0.6666666666666666,0.33333333333333337
843,load,0.0,0.7,0.30000000000000004
844,load,0.03333333333333333,0.7333333333333333,0.2333333333333334
845,load,0.03333333333333333,0.6,0.3666666666666667
846,load,0.0,0.6666666666666666,0.33333333333333337
847,load,0.0,0.5666666666666667,0.43333333333333335
848,load,0.0,0.7666666666666667,0.23333333333333328
849,load,0.0,0.5666666666666667,0.43333333333333335
851,load,0.0,0.7333333333333333,0.2666666666666667
852,load,0.0,0.6333333333333333,0.3666666666666667
853,load,0.0,0.8,0.19999999999999996
854,load,0.0,0.7333333333333333,0.2666666666666667
855,load,0.0,0.7,0.30000000000000004
856,load,0.0,0.8666666666666667,0.1333333333333333
857,load,0.0,0.6333333333333333,0.3666666666666667
858,load,0.0,0.6333333333333333,0.3666666666666667
859,load,0.0,0.6,0.4
860,load,0.0,0.8,0.19999999999999996
861,load,0.0,0.6666666666666666,0.33333333333333337
862,load,0.0,0.6666666666666666,0.33333333333333337
875,bitcast,0.6666666666666666,0.16666666666666666,0.16666666666666674
876,load,0.0,0.7666666666666667,0.23333333333333328
877,getelementptr,0.8,0.13333333333333333,0.06666666666666665
878,bitcast,0.7,0.03333333333333333,0.2666666666666667
879,load,0.0,0.7666666666666667,0.23333333333333328
880,getelementptr,0.7666666666666667,0.13333333333333333,0.09999999999999998
881,bitcast,0.7,0.1,0.20000000000000007
882,load,0.0,0.7,0.30000000000000004
883,getelementptr,0.8,0.06666666666666667,0.1333333333333333
884,bitcast,0.7666666666666667,0.1,0.1333333333333333
885,load,0.0,0.7,0.30000000000000004
886,getelementptr,0.6666666666666666,0.2,0.13333333333333341
887,bitcast,0.7333333333333333,0.1,0.16666666666666674
888,load,0.0,0.8333333333333334,0.16666666666666663
889,getelementptr,0.8,0.1,0.09999999999999998
890,bitcast,0.6333333333333333,0.16666666666666666,0.20000000000000007
891,load,0.0,0.8,0.19999999999999996
892,getelementptr,0.7333333333333333,0.16666666666666666,0.10000000000000009
893,bitcast,0.6,0.26666666666666666,0.13333333333333341
894,load,0.0,0.6666666666666666,0.33333333333333337
895,getelementptr,0.8,0.03333333333333333,0.16666666666666663
896,bitcast,0.8,0.03333333333333333,0.16666666666666663
897,load,0.0,0.7,0.30000000000000004
898,getelementptr,0.8333333333333334,0.03333333333333333,0.1333333333333333
899,bitcast,0.8333333333333334,0.03333333333333333,0.1333333333333333
900,load,0.0,0.8333333333333334,0.16666666666666663
901,getelementptr,0.7333333333333333,0.1,0.16666666666666674
902,bitcast,0.8333333333333334,0.06666666666666667,0.09999999999999998
903,load,0.0,0.8,0.19999999999999996
904,getelementptr,0.8333333333333334,0.1,0.06666666666666665
905,bitcast,0.7,0.0,0.30000000000000004
906,load,0.0,0.6333333333333333,0.3666666666666667
907,getelementptr,0.7333333333333333,0.1,0.16666666666666674
908,bitcast,0.7666666666666667,0.06666666666666667,0.16666666666666663
909,load,0.0,0.7,0.30000000000000004
910,fneg,0.03333333333333333,0.7,0.2666666666666667
